study_accession	study_title	study_description
PRJNA760651	Exploring the possible link between the gut microbiome and fat deposition in pigs	Lipid accumulation and high oxidative stress has become a serious health and economic problem in pig production. Fatness traits are very important in pig production since they are closely related to meat quality. Gut microbiome is generally recognized as a factor in fat deposition. However, the linkage of gut microbiota with fat accumulation in pigs remains elusive. To investigate the association among gut microbiome, lipogenic characteristics, and oxidative stress in Jinhua pigs, we selected 5 high-fat pigs and 5 low-fat pigs from 60 250-day-old Jinhua pigs in the present study and collected colon contents for metagenomic analysis, serum samples for the oxidative stress assay, and liver and abdominal fat tissues for RT-qPCR analysis.Collectively, this study would give a deep insight into how gut microbiome influence fat deposition in Jinhua pigs and would give a hint for improving growth performance and fatness traits by manipulating gut microbiome.
PRJNA761967	chicken gut microbiome/resistome	Cecal microbiome and resistome of broiler chickens receiving a synbiotic supplementation and/or enrofloxacin
PRJNA763692	A high-quality genome compendium of the human gut microbiome of Inner Mongolians	Metagenome-based resources have revealed the diversity and function of the human gut microbiome, but further understanding is limited by insufficient genome quality and a lack of samples from typically understudied populations. Here, we used hybrid long-read PromethION and short-read HiSeq sequencing to characterise the fecal microbiota of 60 individuals from Inner Mongolia (n=180 samples over three time points). We present Inner Mongolian Gut Genome (IMGG) catalog comprising a catalog of 802 closed and 5,927 high-quality metagenome-assembled genomes. The IMGG substantially increased resolution of genomic elements including ribosomal RNA operons (rrns), metabolic gene clusters (MGCs), prophages, and insertion sequences (IS). In particular, we report the rrn copy number for uncultured species and over 12,000 previously undescribed gut prophages and their protein-coding genes, and discloses the distribution and potential impact of IS elements across gut bacteria. Overall, these data provide a high-quality, large-scale resource for studying the human gut microbiota.
PRJNA769425	Metagenomic analysis of the gut microbiota in piglets reveals beneficial effects of probiotics on its composition, resistome, digestive function and oxidative stress responses	In this project, whole metagenome shotgun sequencing was performed to monitor and observe the efficacy of probiotic prototype fed in neonatal pigs on gut microbiota and antibiotic resistance gene (ARGs) modulation in weaned piglets.
PRJNA769748	yangchengcong96@emails.imau.ed.cn	our data supported that consuming M8-fermented milk effectively mitigateed ALD and maintain gut homeostasis by restoring a healthy fecal microbiota and enhancing potential liver protective gut metabolites.
PRJNA769968	Probiotic consumption relieved Parkinson's disease via modulating the gut microbiota and neuroactive compounds	Parkinson's disease has been improved to association with gastrointestinal symptoms and gut microbiota disorders, probiotics is considered as a technique for GI symptoms, while the regulative effect of probiotics on Parkinson's disease is limited. The supplementary treatment of Probio-M8 on Parkinson has been investigation.
PRJNA770101	the transmission of probio-m9 from mother to infant	the transmission of probio-m9 from mother to infant
PRJNA772288	CHARACTERISATION OF EXTENDED-SPECTRUM BETA LACTAMASES (ESBLs) ENCODING BACTERIA FROM A RURAL COMMUNITY SETTLEMENT	This study main objective is to determine the occurrence of antibiotic resistance targeting mainly the ESBLs encoding bacteria isolated from animal faces and the environmental sources( pond water and soil) in Palapye
PRJNA772888	Metagenomic analysis of environmental feces	Metagenomic comparison of microbiome in environmental feces of the Eurasian otter (Lutra lutra) and leopard cat (Prionailurus bengalensis) in Korea
PRJNA773596	Clinical study of probiotics in adjuvant treatment of patients with osteoporosis	Osteoporosis is a systemic bone disease which is prone to fracture due to the decline of bone mineral density and bone quality, the destruction of bone microstructure and the increase of bone fragility. In recent years, studies have reported that osteoporosis is related to the changes of gut microbiota. Therefore, RCT method was used to explore the relationship between osteoporosis and gut microbiota.
PRJNA777422	Gut microbiome of C57/BL 6J mice.	The effects of different intervention methods on the microbiome of C57/BL 6J mice were sequenced.
PRJNA777737	the metagenome of plateau pika	analysis the function of microbe of plateau pika
PRJNA778431	gut microbiota of swine Genome sequencing and assembly	Effects of a traditional Chinese medicine formula containing the Coix seed and lotus seed on the intestinal morphology and microbiota of local piglets
PRJNA778925	pullum stercoris stercus ovium Frumentum stipulae Raw sequence reads	Paired-end sequencing of compost samples
PRJNA779106	Effects of Compound probiotics on Growth Performance, immune function, Intestinal microflora and Blood Metabolites of Suckling Piglets	In the current work, we evaluate the effects of the compound probiotic fermentation liquid (containing Lactobacillus casei Zhang, Lactobacillus plantarum P-8, and Lactobacillus rhamnosus Probio-M9) on the health of piglets by examining some growth performance and immune functions.A second objective of this study was to identify the biomarkers of gut microbiota and blood metabolites between the probiotic and the control groups, and then to dissect the mechanisms behind the improvement of piglet growth performance. The findings of the present study would provide a wide and integrative view of reference information for improving piglet growth and development, disease resistance and immune maturity in the early stages of life, expanding the knowledge and application of probiotics-based therapy.
PRJNA779845	Gallus gallus gut metagenome Raw sequence reads	normal whole-genome de novo sequencing of chicken gut microbiome
